Ride,Date-Time,Wait Time
Pirates of the Caribbean,2020-01-01 11:30,35
Pirates of the Caribbean,2020-01-01 11:35,45
Pirates of the Caribbean,2020-01-01 11:40,45
Pirates of the Caribbean,2020-01-01 11:45,55
Pirates of the Caribbean,2020-01-01 11:50,50
Pirates of the Caribbean,2020-01-01 11:55,40
Pirates of the Caribbean,2020-01-01 12:00,40
Pirates of the Caribbean,2020-01-01 12:05,45
Pirates of the Caribbean,2020-01-01 12:10,45
Pirates of the Caribbean,2020-01-01 12:15,45
Pirates of the Caribbean,2020-01-01 12:20,55
Pirates of the Caribbean,2020-01-01 12:25,55
Pirates of the Caribbean,2020-01-01 12:30,55
Pirates of the Caribbean,2020-01-01 12:35,55
Pirates of the Caribbean,2020-01-01 12:40,55
Pirates of the Caribbean,2020-01-01 12:45,55
Pirates of the Caribbean,2020-01-01 12:50,55
Pirates of the Caribbean,2020-01-01 12:55,55
Pirates of the Caribbean,2020-01-01 13:00,55
Pirates of the Caribbean,2020-01-01 13:05,40
Pirates of the Caribbean,2020-01-01 13:10,30
Pirates of the Caribbean,2020-01-01 13:15,40
Pirates of the Caribbean,2020-01-01 13:20,65
Pirates of the Caribbean,2020-01-01 13:25,65
Pirates of the Caribbean,2020-01-01 13:30,65
Pirates of the Caribbean,2020-01-01 13:35,60
Pirates of the Caribbean,2020-01-01 13:40,70
Pirates of the Caribbean,2020-01-01 13:45,70
Pirates of the Caribbean,2020-01-01 13:50,70
Pirates of the Caribbean,2020-01-01 13:55,65
Pirates of the Caribbean,2020-01-01 14:00,65
Pirates of the Caribbean,2020-01-01 14:05,50
Pirates of the Caribbean,2020-01-01 14:10,50
Pirates of the Caribbean,2020-01-01 14:15,55
Pirates of the Caribbean,2020-01-01 14:20,55
Pirates of the Caribbean,2020-01-01 14:25,60
Pirates of the Caribbean,2020-01-01 14:30,55
Pirates of the Caribbean,2020-01-01 14:35,45
Pirates of the Caribbean,2020-01-01 14:40,50
Pirates of the Caribbean,2020-01-01 14:45,50
Pirates of the Caribbean,2020-01-01 14:50,50
Pirates of the Caribbean,2020-01-01 14:55,40
Pirates of the Caribbean,2020-01-01 15:00,45
Pirates of the Caribbean,2020-01-01 15:05,45
Pirates of the Caribbean,2020-01-01 15:10,45
Pirates of the Caribbean,2020-01-01 15:15,45
Pirates of the Caribbean,2020-01-01 15:20,50
Pirates of the Caribbean,2020-01-01 15:25,50
Pirates of the Caribbean,2020-01-01 15:30,80
Pirates of the Caribbean,2020-01-01 15:35,80
Pirates of the Caribbean,2020-01-01 15:40,80
Pirates of the Caribbean,2020-01-01 15:45,70
Pirates of the Caribbean,2020-01-01 15:50,60
Pirates of the Caribbean,2020-01-01 15:55,70
Pirates of the Caribbean,2020-01-01 16:00,65
Pirates of the Caribbean,2020-01-01 16:05,65
Pirates of the Caribbean,2020-01-01 16:10,65
Pirates of the Caribbean,2020-01-01 16:15,70
Pirates of the Caribbean,2020-01-01 16:20,75
Pirates of the Caribbean,2020-01-01 16:25,65
Pirates of the Caribbean,2020-01-01 16:30,65
Pirates of the Caribbean,2020-01-01 16:35,65
Pirates of the Caribbean,2020-01-01 16:40,60
Pirates of the Caribbean,2020-01-01 16:45,50
Pirates of the Caribbean,2020-01-01 16:50,35
Pirates of the Caribbean,2020-01-01 16:55,45
Pirates of the Caribbean,2020-01-01 17:00,60
Pirates of the Caribbean,2020-01-01 17:05,60
Pirates of the Caribbean,2020-01-01 17:10,65
Pirates of the Caribbean,2020-01-01 17:15,45
Pirates of the Caribbean,2020-01-01 17:20,40
Pirates of the Caribbean,2020-01-01 17:25,45
Pirates of the Caribbean,2020-01-01 17:30,45
Pirates of the Caribbean,2020-01-01 17:35,45
Pirates of the Caribbean,2020-01-01 17:40,45
Pirates of the Caribbean,2020-01-01 17:45,45
Pirates of the Caribbean,2020-01-01 17:52,55
Pirates of the Caribbean,2020-01-01 17:55,55
Pirates of the Caribbean,2020-01-01 18:00,60
Pirates of the Caribbean,2020-01-01 18:05,40
Pirates of the Caribbean,2020-01-01 18:10,40
Pirates of the Caribbean,2020-01-01 18:15,40
Pirates of the Caribbean,2020-01-01 18:20,40
Pirates of the Caribbean,2020-01-01 18:25,40
Pirates of the Caribbean,2020-01-01 18:30,40
Pirates of the Caribbean,2020-01-01 18:35,60
Pirates of the Caribbean,2020-01-01 18:40,60
Pirates of the Caribbean,2020-01-01 18:45,60
Pirates of the Caribbean,2020-01-01 18:50,45
Pirates of the Caribbean,2020-01-01 18:55,45
Pirates of the Caribbean,2020-01-01 19:00,35
Pirates of the Caribbean,2020-01-01 19:05,35
